id	title	price	size	time	rating	reviews	features	cover	description
3747400338656073	CYBER TENNIS	14.99	1157.12	1612956853.0	4	19	action,simulation,sports,multiplayer	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38974600_2216899571775182_8861979596987980911_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=79b88e&_nc_ohc=pTxwRB0_BQgAX-7ErG0&_nc_ht=scontent.oculuscdn.com&tp=28&oh=11ded13a66d76441b3117a7459813e89&oe=60C8D7F2	You can enjoy tennis with a natural swing, with the controller as a racket. Especially for experienced tennis you can enjoy a very realistic feeling of operation. You can set details such as the height of the player, the height…
3927222113966481	V-Speedway Alpha	0	131.9	1615412989.0	4	100	arcade,racing,sports,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38974703_215177033537382_7723229902489829726_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=79b88e&_nc_ohc=DuIF8v-TnogAX92_l_I&_nc_ht=scontent.oculuscdn.com&tp=28&oh=52b0cd700c4b1b2862993852103e4374&oe=60C90287	V-Speedway is an arcade racing game with simple rules, no-fuss physics and exciting driving feedback. Drive by grabbing wheel, gear stick and handbrake to get full control over the car, or use buttons and automatic transmission- you choose. Race up…
3070868589682594	Minsar Studio Pro	0	264.5	1615474309.0	4	16	art/creativity,productivity,utility,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38974827_173364350864004_5304829477122668987_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=79b88e&_nc_ohc=_zRfaFQwDY4AX_9UWja&_nc_ht=scontent.oculuscdn.com&tp=28&oh=64e188000b43a1d6e0351829c49f8101&oe=60C79E85	Minsar Studio helps you to design interactive and engaging AR and VR experiences. Our VR studio fit with creative workflow of all range from individuals to big creative agencies. No programming skills are required. Import your work (2D, 3D, videos,…
3926597184026195	Crisis VRigade	5.99	1105.92	1612433108.0	4	101	action,arcade,shooter,co-op,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/39031387_426158752153346_6884735315490409059_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=79b88e&_nc_ohc=FLOOWph2l0EAX_CChwX&_nc_oc=AQlJi9csMjbYmJ4QIcJd-JuJncj_3eVjmxkD93qe1-9QXwJoExND4jeQHXRHvceq2C4&_nc_ht=scontent.oculuscdn.com&tp=28&oh=9d3eccb2c079220d2ad583f987889be8&oe=60C8E8BA	Crisis VRigade is a virtual reality action filled first person shooter that lets players take on the role of a SWAT trooper and deal with terrorist situations. Play solo or team with your friends with the coop multiplayer mode.<br>Duty calls!…
3508439205941147	Smash Drums Demo	0	385.4	1612433099.0	5	169	action,arcade,music,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/75308614_820479825258166_1813165941643503089_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=79b88e&_nc_ohc=ZsZHAQ7gooMAX_Rsx0d&_nc_ht=scontent.oculuscdn.com&tp=28&oh=d7fb3fc99d1255b49eaf3bdc705c3303&oe=60C95158	Get ready to ROCK and DRUM HARD in this demo! <br>Embark on an epic drumming journey to escape nightmares! Through chaos and flames, be prepared to SMASH DRUMS in style! <br>Things are about to get intense...<br>This demo features three rock…
3635870759815444	RealFit	19.99	355.6	1615538596.0	5	7	sports,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38974677_234789071671954_66384445194171279_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=79b88e&_nc_ohc=HD8CriTEe4gAX80i0JM&_nc_ht=scontent.oculuscdn.com&tp=28&oh=0a610c8593ccd322ce56021edd7a5272&oe=60C7844A	Stay active with fun and effective exercise in VR.<br>Bodyweight training exercises and games to get you moving your whole body, no need for extra equipment or expensive gym memberships. <br>Custom workout options, environments and stats tracking help keep you motivated.
4116487761695377	Galaxy Forces VR	0	133.1	1615578796.0	5	14	action,arcade,flying,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/39031326_447032189675222_2150172363113407399_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=79b88e&_nc_ohc=k3QNhNfmqGkAX89d4Zc&_nc_ht=scontent.oculuscdn.com&tp=28&oh=ba982bb4bc415b63f8b3c078ac37f5fd&oe=60C8B534	A single player space shooter game. You are in control of a ship and the goal is to race against the clock to get the fastest time (race), or transport cargo to get the best score (mission). All done in…
5623734877640238	Bard Hero VR	0	68.5	1613289273.0	2	31	music,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/39003281_850413535799528_7084400365840534062_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=79b88e&_nc_ohc=KlmFs0k7O_oAX8nrjwE&_nc_ht=scontent.oculuscdn.com&tp=28&oh=cac0f98e7d925b42f878910522a312f7&oe=60C93960	Bard Hero VR is a short rhythm game, featuring:<br>• Rhythm mode <br>• Survival mode<br>• 6 songs playable in both modes <br>• 10 gameplay modifiers<br>• Leaderboards <br>• Optional hand tracking
3753844808017398	The Final Overs	14.99	424.9	1615299625.0	5	91	sports,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/57572948_460529628426336_7359925085701169979_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=79b88e&_nc_ohc=-xxb8db2c8YAX8wtIk7&_nc_ht=scontent.oculuscdn.com&tp=28&oh=f357d685105bd5b4c993b5603da981bb&oe=60C932D3	Experience the thrill of the death-overs with this action-packed VR Cricket game developed from the ground up for Oculus Quest. <br>While everyone is asked to stay inside homes & cricket grounds have gone cheerless & crowd-less, revive the vigor of…
3484166918362420	OceanCraft	9.99	128.5	1615542440.0	4	56	adventure,exploration,food,co-op,multiplayer,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/86634394_120918753248210_1922047265614383523_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=79b88e&_nc_ohc=9UcBTIm0yfkAX-5-IsJ&_nc_ht=scontent.oculuscdn.com&tp=28&oh=8c774ae83d299671188b40cccbc272cf&oe=60C8D235	OceanCraft is a Virtual Reality game about surviving on a self build vehicle on the ocean.<br>Survive the dangers of the ocean - alone - or with your friends.<br>!!! Early-Access Release !!!<br>Currently you have about one hour of gameplay<br>Before adding further…
